,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
54,54,MIIC,5,1.1,2,1000,3,0.0019571781158447,False,1.0,0.8,0.888888888888889,1,2
55,55,GHC,5,1.1,2,1000,3,0.0097999572753906,False,1.0,0.6,0.7499999999999999,2,2
56,56,FCI,5,1.1,2,1000,3,0.0020959377288818,False,0.0,0.0,0.0,0,0
57,57,MIIC,5,1.1,2,1000,4,0.001636266708374,False,1.0,0.6,0.7499999999999999,2,3
58,58,GHC,5,1.1,2,1000,4,0.0095391273498535,False,0.6666666666666666,0.4,0.5,4,5
59,59,FCI,5,1.1,2,1000,4,0.0012309551239013,False,0.0,0.0,0.0,0,0
60,60,MIIC,5,1.1,3,100,0,0.0016217231750488,False,1.0,0.8,0.888888888888889,1,3
61,61,GHC,5,1.1,3,100,0,0.0110430717468261,False,1.0,0.8,0.888888888888889,1,3
62,62,FCI,5,1.1,3,100,0,0.0014128684997558,False,1.0,0.4,0.5714285714285715,3,3
63,63,MIIC,5,1.1,3,100,1,0.0020949840545654,False,1.0,1.0,1.0,0,0
64,64,GHC,5,1.1,3,100,1,0.0109031200408935,False,1.0,1.0,1.0,0,0
65,65,FCI,5,1.1,3,100,1,0.00319504737854,False,0.0,0.0,0.0,0,0
66,66,MIIC,5,1.1,3,100,2,0.0012929439544677,False,1.0,0.4,0.5714285714285715,3,3
67,67,GHC,5,1.1,3,100,2,0.0098590850830078,False,1.0,0.4,0.5714285714285715,3,3
68,68,FCI,5,1.1,3,100,2,0.0010333061218261,False,1.0,0.6,0.7499999999999999,2,2
69,69,MIIC,5,1.1,3,100,3,0.001194953918457,False,0.0,0.0,0.0,5,5
70,70,GHC,5,1.1,3,100,3,0.0095181465148925,False,0.0,0.0,0.0,5,5
71,71,FCI,5,1.1,3,100,3,0.0006730556488037,False,1.0,0.2,0.3333333333333333,4,5
72,72,MIIC,5,1.1,3,100,4,0.0012390613555908,False,1.0,0.25,0.4,3,4
73,73,GHC,5,1.1,3,100,4,0.0090088844299316,False,1.0,0.25,0.4,3,4
74,74,FCI,5,1.1,3,100,4,0.0009651184082031,False,1.0,0.25,0.4,3,4
75,75,MIIC,5,1.1,3,250,0,0.0015149116516113,False,1.0,0.6,0.7499999999999999,2,2
76,76,GHC,5,1.1,3,250,0,0.0099101066589355,False,1.0,0.6,0.7499999999999999,2,2
77,77,FCI,5,1.1,3,250,0,0.0011560916900634,False,1.0,0.6,0.7499999999999999,2,2
78,78,MIIC,5,1.1,3,250,1,0.0012259483337402,False,1.0,0.25,0.4,3,3
79,79,GHC,5,1.1,3,250,1,0.0084521770477294,False,1.0,0.25,0.4,3,3
80,80,FCI,5,1.1,3,250,1,0.0007009506225585,False,1.0,0.5,0.6666666666666666,2,3
